# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.800257115172e-10       6.355200883232e-15       5.483154539983e-13       4.073271009343e-15       8.283456289599e-09       4.560258604906e-10      -1.842278457786e-12 
    3       2.392339445422e-10       7.390137642917e-15       4.291469407320e-13       3.833335094225e-15       5.087564789690e-09       3.225351228209e-10      -1.394818436789e-12 
    4       2.212251397053e-10       6.299903964325e-15       3.556647598928e-13       3.104431117392e-15       3.523428794889e-09       2.438133924343e-10      -9.127158316330e-13 
    5       2.114684248157e-10       4.282079292642e-15       2.880553455979e-13       2.259350353026e-15       2.621789023837e-09       1.923691799156e-10      -5.069476883207e-13 
    6       2.052845749051e-10       2.514856476153e-15       2.247922075906e-13       1.531156834208e-15       2.042744572373e-09       1.563745175474e-10      -2.081091879973e-13 
    7       2.013495353194e-10       1.470064355803e-15       1.708778165645e-13       1.014498001423e-15       1.644411873366e-09       1.299781567779e-10      -1.764965382118e-14 
    8       1.989249643934e-10       1.040827715802e-15       1.290320524972e-13       7.118702266011e-16       1.356595696706e-09       1.099771515456e-10       7.941240142983e-14 
    9       1.975191961613e-10       9.342077056870e-16       9.968637526467e-14       5.809172178201e-16       1.140650068017e-09       9.447336366200e-11       1.064370832725e-13 
   10       1.967661826144e-10       9.380281492100e-16       8.152215899250e-14       5.686624989615e-16       9.737527712498e-10       8.219939921811e-11       8.927893793137e-14 
   11       1.965320718156e-10       9.776049657930e-16       7.214060373839e-14       6.285058783548e-16       8.336128646284e-10       7.301393319583e-11       5.203125484695e-14 
   12       1.966248509456e-10       1.051155027898e-15       6.875824533848e-14       7.278393216952e-16       7.285559193034e-10       6.456132909018e-11       1.227602193590e-14 
   13       1.969713004727e-10       1.163768344743e-15       6.888400687928e-14       8.470500480318e-16       6.422893835883e-10       5.769582122033e-11      -1.798980178515e-14 
   14       1.975101880510e-10       1.306581303331e-15       7.059771954326e-14       9.765704117118e-16       5.704998765939e-10       5.171608902766e-11      -3.451225197454e-14 
   15       1.982208650027e-10       1.468514594561e-15       7.265895612138e-14       1.112456621992e-15       5.100629783861e-10       4.668613694012e-11      -3.750069242981e-14 
   16       1.990243221553e-10       1.647358973259e-15       7.442735039777e-14       1.253583361417e-15       4.586668585688e-10       4.235083295151e-11      -3.091273114784e-14 
   17       1.999453039663e-10       1.848362195210e-15       7.569221191574e-14       1.399843703792e-15       4.145686501527e-10       3.856726008307e-11      -1.994046394034e-14 
   18       2.009141571671e-10       2.076624327648e-15       7.672272816466e-14       1.551155243960e-15       3.762908512522e-10       3.526705324146e-11      -9.473443006341e-15 
   19       2.019603299210e-10       2.332128737197e-15       7.775472499780e-14       1.707445424664e-15       3.432160140421e-10       3.240305514424e-11      -2.116990477913e-15 
